Name,Address,Rating,Google Maps URL
Blackbird Rock Bar,"C. de las Huertas, 22, Centro, 28014 Madrid, Spain",4.5,https://www.google.com/maps/place/?q=place_id:ChIJVVU5xYEoQg0Rtfft_Gemt9I
MADRIZ MADRID Rock Bar.,"C. de Gaztambide, 20, Chamberí, 28015 Madrid, Spain",4.4,https://www.google.com/maps/place/?q=place_id:ChIJTWzbmkIoQg0Rsjw438pFBj0
El refugio,"C. de San Juan de la Salle, 5, Chamartín, 28036 Madrid, Spain",4.5,https://www.google.com/maps/place/?q=place_id:ChIJq0CnTOIoQg0R01Oz0l4prDU
The Temple Of Rock,"Tr.ª de Trujillos, 1, Centro, 28013 Madrid, Spain",4.9,https://www.google.com/maps/place/?q=place_id:ChIJH9CqUgApQg0RmEFp_V7XxhQ
Cathouse Rock Bar,"C. de los Robles, 14, Puente de Vallecas, 28053 Madrid, Spain",4.7,https://www.google.com/maps/place/?q=place_id:ChIJgYcwXwwmQg0RseAuyKL7-HM
KuRGaN Club,"C. del Dos de Mayo, 6, Bajo Izquierda, Centro, 28004 Madrid, Spain",4.7,https://www.google.com/maps/place/?q=place_id:ChIJ9UxYXWIoQg0Roz-xiJjQJog
Diplodocus,"C. de Manuela Malasaña, 31, Centro, 28004 Madrid, Spain",4.5,https://www.google.com/maps/place/?q=place_id:ChIJVaVPm2EoQg0RYGMv8_dDRgs
Ocean Rock Bar,"C. de San Vicente Ferrer, 27, Centro, 28004 Madrid, Spain",4.3,https://www.google.com/maps/place/?q=place_id:ChIJew80fWIoQg0RramD1vEeTEg
Bastard Heavy Rock Pub,"C. de Andrés Mellado, 33, Chamberí, 28015 Madrid, Spain",4.4,https://www.google.com/maps/place/?q=place_id:ChIJ37NaIJYvQg0RhC7MbknCQ70
Wrong Way,"C. de la Palma, 43, Centro, 28004 Madrid, Spain",4.6,https://www.google.com/maps/place/?q=place_id:ChIJyXJnTGIoQg0RXtmb0tzWMe4
Cocodrilo Rock Bar,"C. de Cebreros, 101, Latina, 28011 Madrid, Spain",4.6,https://www.google.com/maps/place/?q=place_id:ChIJiUFGXgWIQQ0RdYRbrs19UvM
Malatesta rock bar,"Calle del Olmo, 3, Centro, 28012 Madrid, Spain",4.7,https://www.google.com/maps/place/?q=place_id:ChIJm64Q6yomQg0RlLjA7sLx3eM
The Sinner Metal Bar,"C. de Andrés Mellado, 31, Chamberí, 28015 Madrid, Spain",4.7,https://www.google.com/maps/place/?q=place_id:ChIJoUWnmkIoQg0Rz3WWcE6yJ4k
Bustock Rock Bar,"C. de las Huertas, 25, Centro, 28014 Madrid, Spain",4.2,https://www.google.com/maps/place/?q=place_id:ChIJrxS9woEoQg0RO-058PEKtyg
Lovely Rita Rock Bar,"Calle de Larra, 15, Centro, 28004 Madrid, Spain",4.4,https://www.google.com/maps/place/?q=place_id:ChIJg5kbMM4pQg0R7wrPUmjOf8w
La Cocina Bar,"Av. de Alberto de Alcocer, 48, Chamartín, 28016 Madrid, Spain",3.6,https://www.google.com/maps/place/?q=place_id:ChIJO2AFRCEpQg0RfjTAPlgl1j0
Flamingo Rock,"C. de Cartagena, 24, Salamanca, 28028 Madrid, Spain",4.7,https://www.google.com/maps/place/?q=place_id:ChIJSdbytrcoQg0R4l_9LDz77BY
Fenrir Metal Madrid,"C. de Andrés Mellado, 29, Chamberí, 28015 Madrid, Spain",4.5,https://www.google.com/maps/place/?q=place_id:ChIJo-mXmUIoQg0RoX7SSKQFFog
Barracudas Rock Bar,"Calle de Brescia, 19, Salamanca, 28028 Madrid, Spain",4.3,https://www.google.com/maps/place/?q=place_id:ChIJY1G0LzUvQg0RTbvqEk5_3kg
La Aguja Rock’n Roll Club,"C. del Ave María, 25, Centro, 28012 Madrid, Spain",4.5,https://www.google.com/maps/place/?q=place_id:ChIJ9SVJaesnQg0RS4Ze2fqiay4
